"area","epiweek","Rt","CIlow","CIup","Rtnext","CIupnext","CIlownext","sgss_s_positive","sgss_s_negative","total_cases","probs","sgss_s_negative_corrected","sgss_s_positive_corrected","freq"
"Barnet","48",1.18542732175471,1.03303690675354,1.34819475929087,1.48477106711863,1.67723562975761,1.31709548050769,235,93,517,0.873289090637841,81.2158854293192,246.784114570681,24.7609406796705
"Barnet","49",1.48477106711863,1.31709548050769,1.67723562975761,1.7253809876469,2.02094703686389,1.48113859670267,257,177,635,0.94123635396834,166.598834652396,267.401165347604,38.3868282609208
"Barnet","50",1.7253809876469,1.48113859670267,2.02094703686389,1.77422023760012,2.1294835718441,1.48339736347034,296,360,893,1,360,296,54.8780487804878
"Basildon","47",1.31147676010237,1.19076453030201,1.42415298234146,1.41981411041454,1.53886035429661,1.29977537118011,94,62,430,0.914814835615489,56.7185198081603,99.2814801918397,36.3580255180515
"Basildon","48",1.41981411041454,1.29977537118011,1.53886035429661,1.49753671975146,1.62376423249471,1.38054583516629,47,134,496,0.956330715872247,128.148315926881,52.8516840731189,70.8001745452382
"Basildon","49",1.49753671975146,1.38054583516629,1.62376423249471,1.48721589475761,1.66431911123972,1.33049262833649,77,269,698,0.980730444650713,263.816489611042,82.1835103889582,76.2475403500121
"Basildon","50",1.48721589475761,1.33049262833649,1.66431911123972,1.43323766485117,1.63437918196333,1.25344010834305,88,555,1206,1,555,88,86.3141524105754
"Basingstoke and Deane","47",0.963151203867638,0.835190080371733,1.07692604392912,1.01813664479355,1.14218147532603,0.902719824816304,67,8,169,0.839819314551423,6.71855451641138,68.2814454835886,8.95807268854851
"Basingstoke and Deane","49",1.09671376556648,0.959467562553745,1.27901160730295,1.13776517367806,1.42946687214097,0.952881107746141,69,7,120,0.961311688034617,6.72918181624232,69.2708181837577,8.85418660031884
"Basingstoke and Deane","50",1.13776517367806,0.952881107746141,1.42946687214097,1.14010020012914,1.4821314871694,0.935359791610831,66,40,167,1,40,66,37.7358490566038
"Bath and North East Somerset","46",0.776495320503661,0.660097406541622,0.880715805727425,0.787306359796311,0.895846352765058,0.670310430739749,115,6,425,0.590716661724358,3.54429997034615,117.455700029654,2.92917352921169
"Bath and North East Somerset","47",0.787306359796311,0.670310430739749,0.895846352765058,0.854238721051474,0.991002463560127,0.733675809601312,50,6,269,0.748377803730233,4.4902668223814,51.5097331776186,8.01833361139535
"Bath and North East Somerset","48",0.854238721051474,0.733675809601312,0.991002463560127,0.925423296951887,1.11918472978997,0.773148650172545,28,6,106,0.85845828658931,5.15074971953586,28.8492502804641,15.1492638809878
"Bath and North East Somerset","50",0.965486221823528,0.759354226915833,1.25032284916205,0.972223381358148,1.30356005325021,0.740780497800241,32,10,100,1,10,32,23.8095238095238
"Bedford","47",1.07285634807838,0.904640704205175,1.20213213653012,1.23019263189775,1.38862359088488,1.08717085331241,59,13,197,0.808543419996965,10.5110644599605,61.4889355400395,14.5987006388341
