name,epiweek,R(S-),R(S+)
Coventry and Warwickshire,Week 48,2.00746534,0.816566803
Coventry and Warwickshire,Week 49,2.703243865,1.152391212
Coventry and Warwickshire,Week 50,2.146849151,1.047868751
Coventry and Warwickshire,Week 51,1.698820265,0.905730981
Coventry and Warwickshire,Week 52,2.169759787,1.148520169
Coventry and Warwickshire,Week 53,1.09094243,0.684446919
Coventry and Warwickshire,Week 54,0.966985065,0.604179641
Coventry and Warwickshire,Week 55,0.89208432,0.568330005
Cumbria and North East,Week 45,2.054118238,1.041395779
Cumbria and North East,Week 46,1.40982572,0.649255178
Cumbria and North East,Week 47,1.426264868,0.632527668
Cumbria and North East,Week 48,1.703405707,0.751530495
Cumbria and North East,Week 49,2.228769235,1.021141522
Cumbria and North East,Week 50,1.8900931,0.954266469
Cumbria and North East,Week 51,1.626019087,0.946092965
Cumbria and North East,Week 52,2.686323867,1.546324117
Cumbria and North East,Week 53,0.80067796,0.463109748
Cumbria and North East,Week 54,0.997070204,0.58087028
Cumbria and North East,Week 55,0.832866839,0.531631879
Devon,Week 45,1.322079411,0.967125615
Devon,Week 46,0.916191067,0.656846712
Devon,Week 47,0.955580842,0.68047258
Devon,Week 48,1.237220718,0.85560265
Devon,Week 49,1.924404931,1.201262491
Devon,Week 50,2.266909962,1.220561855
Devon,Week 51,1.854905606,0.909210812
Devon,Week 52,2.35744817,1.074116617
Devon,Week 53,1.462835457,0.766610859
Devon,Week 54,0.944970237,0.535536042
Devon,Week 55,0.6726147,0.412992864
Dorset,Week 45,1.358373287,0.875885449
Dorset,Week 46,1.111457388,0.579680988
Dorset,Week 47,1.218749441,0.589134035
Dorset,Week 48,1.52466445,0.744909711
Dorset,Week 49,2.217739138,1.115102245
Dorset,Week 50,2.544531416,1.397586813
Dorset,Week 51,2.429870737,1.196742824
Dorset,Week 52,2.857893301,1.244630574
Dorset,Week 53,1.233411483,0.889051034
Dorset,Week 54,0.832928706,0.645930082
Dorset,Week 55,0.813649226,0.555379099
East London Health and Care Partnership,Week 45,2.107466044,1.144433012
East London Health and Care Partnership,Week 46,1.444802985,0.807322176
East London Health and Care Partnership,Week 47,1.630220887,0.913845512
East London Health and Care Partnership,Week 48,1.601739918,0.905618952
East London Health and Care Partnership,Week 49,2.255020352,1.234035015
East London Health and Care Partnership,Week 50,2.331192542,1.242720745
East London Health and Care Partnership,Week 51,0.751414083,0.430380782
East London Health and Care Partnership,Week 52,1.739133103,1.038391431
East London Health and Care Partnership,Week 53,0.72873703,0.490546222
East London Health and Care Partnership,Week 54,0.663454937,0.476042078
East London Health and Care Partnership,Week 55,0.63549908,0.464753212
Frimley Health,Week 45,1.980286567,1.024218439
Frimley Health,Week 46,1.718421925,0.746053894
Frimley Health,Week 47,1.8518681,0.732548011
Frimley Health,Week 48,1.777544959,0.821017749
Frimley Health,Week 49,1.844648608,1.110170168
Frimley Health,Week 50,1.758592734,1.200961397
Frimley Health,Week 51,1.526354455,0.931105387
Frimley Health,Week 52,1.644392893,0.839930386
Frimley Health,Week 53,0.815594334,0.584815579
Frimley Health,Week 54,0.723600022,0.551891525
Frimley Health,Week 55,0.704388038,0.5576414
Gloucestershire,Week 45,1.29061428,1.072834883
Gloucestershire,Week 46,1.130399626,0.823334509
Gloucestershire,Week 47,1.220138582,0.77130842
Gloucestershire,Week 48,1.67107642,0.932133317
Gloucestershire,Week 49,2.28065009,1.208556637
Gloucestershire,Week 50,2.161420952,1.125682477
Gloucestershire,Week 51,2.073159653,1.077829455
Gloucestershire,Week 52,2.06290623,1.129326749
Gloucestershire,Week 53,0.997688227,0.625439974
Gloucestershire,Week 54,0.865751672,0.513010106
Gloucestershire,Week 55,0.863413851,0.507604506
Greater Manchester Health and Social Care Partnership,Week 45,1.317476834,0.775635277
Greater Manchester Health and Social Care Partnership,Week 46,1.125070932,0.608244366
Greater Manchester Health and Social Care Partnership,Week 47,1.43091994,0.723269421
Greater Manchester Health and Social Care Partnership,Week 48,1.689146373,0.800030281
Greater Manchester Health and Social Care Partnership,Week 49,2.187100448,0.990132331
Greater Manchester Health and Social Care Partnership,Week 50,2.195692333,0.947132108
Greater Manchester Health and Social Care Partnership,Week 51,2.117682766,0.929510154
Greater Manchester Health and Social Care Partnership,Week 52,2.7127439,1.283543838
Greater Manchester Health and Social Care Partnership,Week 53,1.438057937,0.757326323
Greater Manchester Health and Social Care Partnership,Week 54,0.936869106,0.529748586
Greater Manchester Health and Social Care Partnership,Week 55,0.86537475,0.490160679
Hampshire and the Isle of Wight,Week 45,2.040186802,1.12816123
Hampshire and the Isle of Wight,Week 46,1.096575747,0.572134946
Hampshire and the Isle of Wight,Week 47,1.295246793,0.617045406
Hampshire and the Isle of Wight,Week 48,1.734225621,0.794011343
Hampshire and the Isle of Wight,Week 49,2.331338378,1.182151299
